id,id_transfermarkt,club_tm,nome,cognome,data_nascita,scadenza_contratto,id_giocatore,aggiornato_il,valore_mercato
8170,403151.0,Calcio Como,Robert,Sánchez,1997-11-18,2027-06-30,,2026-09-20 22:25:27.391705+00:00,22000000.0
8171,242940.0,Calcio Como,Edoardo,Goldaniga,1993-11-02,2028-06-30,,2026-09-20 22:25:27.391705+00:00,2000000.0
8172,385394.0,Calcio Como,Alberto,Dossena,1998-10-13,2028-06-30,,2026-09-20 22:25:27.391705+00:00,6000000.0
8173,780630.0,Calcio Como,Willy,Kambwala,2004-08-25,2027-06-30,,2026-09-20 22:25:27.391705+00:00,3000000.0
8174,160938.0,Calcio Como,Marc Oliver,Kempf,1995-01-28,2029-06-30,,2026-09-20 22:25:27.391705+00:00,3500000.0
8175,88595.0,Calcio Como,Mauro,Vigorito,1990-05-22,2027-06-30,,2026-09-20 22:25:27.391705+00:00,150000.0
8176,879217.0,Calcio Como,,Kaiki,2003-03-08,2027-06-30,,2026-09-20 22:25:27.391705+00:00,14000000.0
8177,346314.0,Calcio Como,Trevoh,Chalobah,1999-07-05,2031-06-30,,2026-09-20 22:25:27.391705+00:00,40000000.0
8178,290537.0,Calcio Como,Jean,Butez,1995-06-08,2030-06-30,,2026-09-20 22:25:27.391705+00:00,8000000.0
8179,627228.0,Calcio Como,Yan,Couto,2002-06-03,2027-06-30,,2026-09-20 22:25:27.391705+00:00,17000000.0
8180,948278.0,Calcio Como,Jacobo,Ramón,2005-01-06,2030-06-30,,2026-09-20 22:25:27.391705+00:00,30000000.0
8181,709957.0,Calcio Como,Álex,Valle,2004-04-25,2029-06-30,,2026-09-20 22:25:27.391705+00:00,12000000.0
8182,495667.0,Calcio Como,Lucas,Da Cunha,2001-06-09,2031-06-30,,2026-09-20 22:25:27.391705+00:00,20000000.0
8183,467992.0,Calcio Como,Samuele,Ricci,2001-08-21,2027-06-30,,2026-09-20 22:25:27.391705+00:00,22000000.0
8184,571271.0,Calcio Como,Ivan,Smolcic,2000-08-17,2031-06-30,,2026-09-20 22:25:27.391705+00:00,3500000.0
8185,281989.0,Calcio Como,Luis,Milla,1994-10-07,2029-06-30,,2026-09-20 22:25:27.391705+00:00,3500000.0
8186,580451.0,Calcio Como,Martin,Baturina,2003-02-16,2030-06-30,,2026-09-20 22:25:27.391705+00:00,45000000.0
8187,668547.0,Calcio Como,Máximo,Perrone,2003-01-07,2029-06-30,,2026-09-20 22:25:27.391705+00:00,35000000.0
8188,948294.0,Calcio Como,Nico,Paz,2004-09-08,2028-06-30,,2026-09-20 22:25:27.391705+00:00,80000000.0
8189,1231993.0,Calcio Como,Adrian,Lahdo,2007-12-26,2031-06-30,,2026-09-20 22:25:27.391705+00:00,10000000.0
8190,1061282.0,Calcio Como,Assane,Diao,2005-09-07,2029-06-30,,2026-09-20 22:25:27.391705+00:00,30000000.0
8191,395237.0,Calcio Como,Maxence,Caqueret,2000-02-15,2029-06-30,,2026-09-20 22:25:27.391705+00:00,13000000.0
8192,988964.0,Calcio Como,Mattia,Liberali,2007-04-06,2031-06-30,,2026-09-20 22:25:27.391705+00:00,8500000.0
8193,1190411.0,Calcio Como,Jesús,Rodríguez,2005-11-21,2030-06-30,,2026-09-20 22:25:27.391705+00:00,30000000.0
8194,747720.0,Calcio Como,Jayden,Addai,2005-08-26,2030-06-30,,2026-09-20 22:25:27.391705+00:00,20000000.0
8195,523318.0,Calcio Como,Anastasios,Douvikas,1999-08-02,2029-06-30,,2026-09-20 22:25:27.391705+00:00,25000000.0
